1. [katedra=KAE, predmet=CESA, semestr=LS, typ=Pr]
2. [katedra=KAE, predmet=CESA, semestr=LS, typ=Pr]
3. [katedra=KAE, predmet=CESA, semestr=LS, typ=Cv]
4. [katedra=KAE, predmet=CESA, semestr=LS, typ=Cv]
5. [katedra=KAE, predmet=CESA, semestr=LS, typ=Cv]
6. [katedra=KAE, predmet=ELS, semestr=LS, typ=Pr]
7. [katedra=KAE, predmet=ELS, semestr=LS, typ=Cv]
8. [katedra=KAE, predmet=RUP, semestr=ZS, typ=Se]
9. [katedra=KEE, predmet=OEK, semestr=ZS, typ=Pr]
10. [katedra=KEE, predmet=OEK, semestr=ZS, typ=Pr]
11. [katedra=KEE, predmet=ZBP, semestr=ZS, typ=Pr]
12. [katedra=KEE, predmet=ZBP, semestr=ZS, typ=Pr]
13. [katedra=KEE, predmet=ZBP, semestr=ZS, typ=Pr]
14. [katedra=KEE, predmet=ZBP, semestr=ZS, typ=Pr]
15. [katedra=KEM, predmet=EK1, semestr=ZS, typ=Pr]
16. [katedra=KEM, predmet=EK1, semestr=ZS, typ=Cv]
17. [katedra=KEM, predmet=ZOET, semestr=ZS, typ=Pr]
18. [katedra=KEM, predmet=ZOET, semestr=ZS, typ=Cv]
19. [katedra=KET, predmet=ESCA, semestr=ZS, typ=Pr]
20. [katedra=KET, predmet=ESCA, semestr=ZS, typ=Cv]
21. [katedra=KET, predmet=ESCA, semestr=ZS, typ=Cv]
22. [katedra=KET, predmet=ZMA, semestr=LS, typ=Pr]
23. [katedra=KET, predmet=ZMA, semestr=LS, typ=Pr]
24. [katedra=KET, predmet=ZMA, semestr=LS, typ=Pr]
25. [katedra=KET, predmet=ZMA, semestr=LS, typ=Pr]
26. [katedra=KET, predmet=ZMA, semestr=LS, typ=Pr]
27. [katedra=KET, predmet=ZMA, semestr=LS, typ=Pr]
28. [katedra=KET, predmet=ZMA, semestr=LS, typ=Pr]
29. [katedra=KET, predmet=ZMA, semestr=LS, typ=Cv]
30. [katedra=KET, predmet=ZMA, semestr=LS, typ=Cv]
31. [katedra=KET, predmet=ZMA, semestr=LS, typ=Cv]
32. [katedra=KET, predmet=ZMA, semestr=LS, typ=Cv]
33. [katedra=KET, predmet=ZMA, semestr=LS, typ=Cv]
34. [katedra=KET, predmet=ZMA, semestr=LS, typ=Cv]
35. [katedra=KET, predmet=ZMA, semestr=LS, typ=Cv]
36. [katedra=KFI, predmet=DFT, semestr=ZS, typ=Pr]
37. [katedra=KFI, predmet=DN, semestr=ZS, typ=Pr]
38. [katedra=KFI, predmet=ETP, semestr=ZS, typ=Pr]
39. [katedra=KFI, predmet=ETP, semestr=ZS, typ=Pr]
40. [katedra=KMA, predmet=PSA, semestr=ZS, typ=Pr]
41. [katedra=KFI, predmet=UDF, semestr=ZS, typ=Pr]
42. [katedra=KFY, predmet=DPFT1, semestr=ZS, typ=Cv]
43. [katedra=KFY, predmet=DPFT2, semestr=LS, typ=Cv]
44. [katedra=KFY, predmet=EMSA, semestr=ZS, typ=Pr]
45. [katedra=KFY, predmet=EMSA, semestr=ZS, typ=Cv]
46. [katedra=KFY, predmet=FCPT, semestr=LS, typ=Pr]
47. [katedra=KFY, predmet=FCPT, semestr=LS, typ=Cv]
48. [katedra=KFY, predmet=FIPL, semestr=LS, typ=Cv]
49. [katedra=KFY, predmet=FPA, semestr=LS, typ=Cv]
50. [katedra=KFY, predmet=FPL1, semestr=ZS, typ=Pr]
51. [katedra=KFY, predmet=FPL1, semestr=ZS, typ=Cv]
52. [katedra=KFY, predmet=FPL2, semestr=ZS, typ=Pr]
53. [katedra=KFY, predmet=FPL2, semestr=ZS, typ=Cv]
54. [katedra=KFY, predmet=FT, semestr=LS, typ=Cv]
55. [katedra=KFY, predmet=FTPV1, semestr=ZS, typ=Pr]
56. [katedra=KFY, predmet=FTPV1, semestr=ZS, typ=Cv]
57. [katedra=KFY, predmet=FTPV2, semestr=LS, typ=Pr]
58. [katedra=KFY, predmet=FTPV2, semestr=LS, typ=Cv]
59. [katedra=KFY, predmet=FYA1, semestr=ZS, typ=Pr]
60. [katedra=KFY, predmet=FYA1, semestr=ZS, typ=Pr]
